Rk,Team,W,L,Pace
,,,,
1,Boston Celtics*,66,16,90.9
2,Los Angeles Lakers*,57,25,95.6
3,Utah Jazz*,54,28,93.2
4,Detroit Pistons*,59,23,87.3
5,New Orleans Hornets*,56,26,89.9
6,Phoenix Suns*,55,27,96.7
7,San Antonio Spurs*,56,26,88.8
8,Houston Rockets*,55,27,90.4
9,Orlando Magic*,52,30,93.4
10,Dallas Mavericks*,51,31,90.2
11,Denver Nuggets*,50,32,99.7
12,Toronto Raptors*,41,41,90.2
13,Golden State Warriors,48,34,98.8
14,Philadelphia 76ers*,40,42,90.4
15,Portland Trail Blazers,41,41,87.9
16,Cleveland Cavaliers*,45,37,90.2
17,Washington Wizards*,43,39,89.5
18,Sacramento Kings,38,44,94.7
19,Indiana Pacers,36,46,97.7
20,Atlanta Hawks*,37,45,91.1
21,Chicago Bulls,33,49,93.0
22,Charlotte Bobcats,32,50,91.8
23,New Jersey Nets,34,48,91.5
24,Memphis Grizzlies,22,60,95.3
25,Minnesota Timberwolves,22,60,91.9
26,New York Knicks,23,59,91.6
27,Los Angeles Clippers,23,59,92.1
28,Milwaukee Bucks,26,56,91.3
29,Seattle SuperSonics,20,62,96.3
30,Miami Heat,15,67,90.2
