Rk,Team,W,L,Pace
,,,,
1,Chicago Bulls*,50,16,89.1
2,San Antonio Spurs*,50,16,92.9
3,Oklahoma City Thunder*,47,19,93.0
4,Miami Heat*,46,20,91.2
5,Philadelphia 76ers*,35,31,89.7
6,Denver Nuggets*,38,28,94.2
7,Los Angeles Clippers*,40,26,89.2
8,Atlanta Hawks*,40,26,90.2
9,Indiana Pacers*,42,24,90.7
10,Memphis Grizzlies*,41,25,90.8
11,New York Knicks*,36,30,93.2
12,Boston Celtics*,39,27,90.4
13,Los Angeles Lakers*,41,25,90.5
14,Dallas Mavericks*,36,30,91.4
15,Utah Jazz*,36,30,91.4
16,Houston Rockets,34,32,91.7
17,Orlando Magic*,37,29,89.0
18,Phoenix Suns,33,33,92.6
19,Portland Trail Blazers,28,38,91.2
20,Milwaukee Bucks,31,35,93.7
21,Minnesota Timberwolves,26,40,93.3
22,Golden State Warriors,23,43,92.3
23,New Orleans Hornets,21,45,88.3
24,Toronto Raptors,23,43,89.3
25,Sacramento Kings,22,44,94.7
26,Washington Wizards,20,46,92.5
27,Detroit Pistons,25,41,89.2
28,New Jersey Nets,22,44,90.1
29,Cleveland Cavaliers,21,45,91.3
30,Charlotte Bobcats,7,59,91.1
