Rk,Team,W,L,Pace
,,,,
1,Orlando Magic*,59,23,92.0
2,Cleveland Cavaliers*,61,21,91.4
3,Utah Jazz*,53,29,93.8
4,San Antonio Spurs*,50,32,91.7
5,Los Angeles Lakers*,57,25,92.8
6,Phoenix Suns*,54,28,95.3
7,Atlanta Hawks*,53,29,90.1
8,Denver Nuggets*,53,29,94.8
9,Oklahoma City Thunder*,50,32,93.1
10,Boston Celtics*,50,32,91.6
11,Portland Trail Blazers*,50,32,87.7
12,Dallas Mavericks*,55,27,92.5
13,Miami Heat*,47,35,89.6
14,Milwaukee Bucks*,46,36,91.7
15,Charlotte Bobcats*,44,38,90.4
16,Houston Rockets,42,40,94.0
17,Memphis Grizzlies,40,42,93.6
18,Chicago Bulls*,41,41,93.1
19,Toronto Raptors,40,42,93.1
20,New Orleans Hornets,37,45,92.6
21,Indiana Pacers,32,50,97.1
22,Golden State Warriors,26,56,100.4
23,Philadelphia 76ers,27,55,91.6
24,New York Knicks,29,53,94.0
25,Sacramento Kings,25,57,94.0
26,Washington Wizards,26,56,91.6
27,Detroit Pistons,27,55,88.5
28,Los Angeles Clippers,29,53,92.6
29,New Jersey Nets,12,70,91.4
30,Minnesota Timberwolves,15,67,96.1
