Rk,Team,W,L,Pace
,,,,
1,Golden State Warriors*,73,9,99.3
2,San Antonio Spurs*,67,15,93.8
3,Oklahoma City Thunder*,55,27,96.7
4,Cleveland Cavaliers*,57,25,93.3
5,Los Angeles Clippers*,53,29,95.8
6,Toronto Raptors*,56,26,92.9
7,Atlanta Hawks*,48,34,97.1
8,Boston Celtics*,48,34,98.5
9,Charlotte Hornets*,48,34,95.7
10,Utah Jazz,40,42,91.0
11,Indiana Pacers*,45,37,96.6
12,Miami Heat*,48,34,93.6
13,Portland Trail Blazers*,44,38,96.0
14,Detroit Pistons*,44,38,95.1
15,Houston Rockets*,41,41,97.6
16,Dallas Mavericks*,42,40,94.3
17,Washington Wizards,41,41,98.5
18,Chicago Bulls,42,40,95.7
19,Orlando Magic,35,47,96.0
20,Memphis Grizzlies*,42,40,93.3
21,Sacramento Kings,33,49,100.0
22,New York Knicks,32,50,93.4
23,Denver Nuggets,33,49,95.7
24,Minnesota Timberwolves,29,53,95.2
25,New Orleans Pelicans,30,52,96.8
26,Milwaukee Bucks,33,49,94.2
27,Phoenix Suns,23,59,98.5
28,Brooklyn Nets,21,61,95.2
29,Los Angeles Lakers,17,65,95.6
30,Philadelphia 76ers,10,72,97.9
