Rk,Team,W,L,Pace
,,,,
1,Miami Heat*,58,24,90.9
2,Chicago Bulls*,62,20,90.4
3,Los Angeles Lakers*,57,25,90.7
4,San Antonio Spurs*,61,21,92.3
5,Orlando Magic*,52,30,91.2
6,Boston Celtics*,56,26,90.4
7,Denver Nuggets*,50,32,95.6
8,Dallas Mavericks*,57,25,91.3
9,Oklahoma City Thunder*,55,27,92.7
10,Memphis Grizzlies*,46,36,91.9
11,Houston Rockets,43,39,94.2
12,Portland Trail Blazers*,48,34,87.9
13,New Orleans Hornets*,46,36,88.7
14,Philadelphia 76ers*,41,41,91.7
15,New York Knicks*,42,40,95.6
16,Phoenix Suns,40,42,94.4
17,Milwaukee Bucks,35,47,89.8
18,Atlanta Hawks*,44,38,89.3
19,Indiana Pacers*,37,45,94.7
20,Utah Jazz,39,43,91.0
21,Golden State Warriors,36,46,94.8
22,Los Angeles Clippers,32,50,92.8
23,Detroit Pistons,30,52,89.2
24,Charlotte Bobcats,34,48,89.6
25,Sacramento Kings,24,58,95.2
26,Minnesota Timberwolves,17,65,96.5
27,New Jersey Nets,24,58,89.9
28,Toronto Raptors,22,60,92.9
29,Washington Wizards,23,59,93.8
30,Cleveland Cavaliers,19,63,93.0
