Rk,Team,W,L,Pace
,,,,
1,Cleveland Cavaliers*,66,16,88.7
2,Boston Celtics*,62,20,90.4
3,Los Angeles Lakers*,65,17,94.3
4,Orlando Magic*,59,23,92.3
5,Portland Trail Blazers*,54,28,86.6
6,Houston Rockets*,53,29,90.2
7,San Antonio Spurs*,54,28,88.4
8,Denver Nuggets*,54,28,94.3
9,Utah Jazz*,48,34,93.1
10,Atlanta Hawks*,47,35,89.6
11,Dallas Mavericks*,50,32,91.5
12,Phoenix Suns,46,36,96.0
13,New Orleans Hornets*,49,33,87.8
14,Miami Heat*,43,39,89.9
15,Philadelphia 76ers*,41,41,90.0
16,Chicago Bulls*,41,41,93.1
17,Detroit Pistons*,39,43,86.7
18,Indiana Pacers,36,46,96.5
19,Milwaukee Bucks,34,48,92.6
20,Charlotte Bobcats,35,47,88.3
21,New Jersey Nets,34,48,89.9
22,New York Knicks,32,50,96.7
23,Toronto Raptors,33,49,92.0
24,Golden State Warriors,29,53,98.2
25,Minnesota Timberwolves,24,58,91.6
26,Memphis Grizzlies,24,58,90.1
27,Oklahoma City Thunder,23,59,93.6
28,Washington Wizards,19,63,91.0
29,Los Angeles Clippers,19,63,92.1
30,Sacramento Kings,17,65,94.2
