Rk,Team,W,L,Pace
,,,,
1,San Antonio Spurs*,62,20,95.0
2,Los Angeles Clippers*,57,25,95.9
3,Oklahoma City Thunder*,59,23,95.4
4,Golden State Warriors*,51,31,96.2
5,Houston Rockets*,54,28,96.3
6,Portland Trail Blazers*,54,28,94.9
7,Miami Heat*,54,28,91.2
8,Indiana Pacers*,56,26,92.5
9,Minnesota Timberwolves,40,42,97.3
10,Phoenix Suns,48,34,95.8
11,Dallas Mavericks*,49,33,93.5
12,Toronto Raptors*,48,34,91.8
13,Memphis Grizzlies*,50,32,89.9
14,Chicago Bulls*,48,34,90.2
15,Washington Wizards*,44,38,93.2
16,Atlanta Hawks*,38,44,94.6
17,Charlotte Bobcats*,43,39,92.4
18,Denver Nuggets,36,46,98.1
19,New York Knicks,37,45,90.3
20,Brooklyn Nets*,44,38,91.4
21,New Orleans Pelicans,34,48,92.2
22,Sacramento Kings,28,54,94.4
23,Cleveland Cavaliers,33,49,93.1
24,Detroit Pistons,29,53,94.9
25,Boston Celtics,25,57,93.3
26,Los Angeles Lakers,27,55,98.7
27,Orlando Magic,23,59,93.6
28,Utah Jazz,25,57,91.4
29,Milwaukee Bucks,15,67,91.8
30,Philadelphia 76ers,19,63,99.2
