Rk,Team,W,L,Pace
,,,,
1,Milwaukee Bucks*,53,12,105.0
2,Los Angeles Lakers*,49,14,100.9
3,Los Angeles Clippers,44,20,101.8
4,Toronto Raptors*,46,18,100.6
5,Dallas Mavericks,40,27,99.1
6,Boston Celtics*,43,21,99.3
7,Houston Rockets,40,24,103.3
8,Utah Jazz,41,23,98.4
9,Denver Nuggets,43,22,97.2
10,Oklahoma City Thunder,40,24,98.6
11,Miami Heat,41,24,98.1
12,Philadelphia 76ers,39,26,98.8
13,Indiana Pacers,39,26,98.5
14,New Orleans Pelicans,28,36,103.9
15,Orlando Magic,30,35,98.3
16,Phoenix Suns,26,39,101.4
17,Memphis Grizzlies,32,33,102.8
18,Portland Trail Blazers,29,37,100.7
19,Brooklyn Nets,30,34,101.2
20,San Antonio Spurs,27,36,100.0
21,Sacramento Kings,28,36,98.4
22,Minnesota Timberwolves,19,45,103.4
23,Chicago Bulls,22,43,99.7
24,Detroit Pistons,20,46,97.6
25,Washington Wizards,24,40,102.8
26,New York Knicks,21,45,98.6
27,Charlotte Hornets,23,42,95.8
28,Atlanta Hawks,20,47,103.0
29,Cleveland Cavaliers,19,46,98.7
30,Golden State Warriors,15,50,100.3
