Rk,Team,W,L,Pace
,,,,
1,San Antonio Spurs*,59,23,88.9
2,Phoenix Suns*,62,20,95.9
3,Dallas Mavericks*,58,24,92.7
4,Miami Heat*,59,23,90.8
5,Houston Rockets*,51,31,88.8
6,Detroit Pistons*,54,28,87.2
7,Memphis Grizzlies*,45,37,88.5
8,Seattle SuperSonics*,52,30,87.9
9,Sacramento Kings*,50,32,93.0
10,Denver Nuggets*,49,33,93.5
11,Minnesota Timberwolves,44,38,89.1
12,Chicago Bulls*,47,35,92.4
13,Indiana Pacers*,44,38,87.2
14,Boston Celtics*,45,37,93.3
15,Cleveland Cavaliers,42,40,89.7
16,Los Angeles Clippers,37,45,89.1
17,Washington Wizards*,45,37,93.3
18,Philadelphia 76ers*,43,39,94.9
19,Golden State Warriors,34,48,93.3
20,Toronto Raptors,33,49,92.7
21,New Jersey Nets*,42,40,89.1
22,Los Angeles Lakers,34,48,90.8
23,Orlando Magic,36,46,94.7
24,New York Knicks,33,49,90.7
25,Milwaukee Bucks,30,52,90.8
26,Portland Trail Blazers,27,55,89.8
27,Utah Jazz,26,56,88.4
28,Charlotte Bobcats,18,64,92.3
29,New Orleans Hornets,18,64,87.6
30,Atlanta Hawks,13,69,91.4
