Rk,Team,W,L,Pace
,,,,
1,Houston Rockets*,65,17,97.6
2,Toronto Raptors*,59,23,97.4
3,Golden State Warriors*,58,24,99.6
4,Utah Jazz*,48,34,95.7
5,Philadelphia 76ers*,52,30,99.8
6,Oklahoma City Thunder*,48,34,96.7
7,Boston Celtics*,55,27,96.0
8,San Antonio Spurs*,47,35,95.0
9,Portland Trail Blazers*,49,33,96.5
10,Minnesota Timberwolves*,47,35,96.0
11,Denver Nuggets,46,36,96.8
12,New Orleans Pelicans*,48,34,100.5
13,Indiana Pacers*,48,34,96.0
14,Cleveland Cavaliers*,50,32,98.0
15,Washington Wizards*,43,39,96.6
16,Los Angeles Clippers,42,40,98.7
17,Miami Heat*,44,38,95.6
18,Charlotte Hornets,36,46,98.4
19,Detroit Pistons,39,43,96.2
20,Milwaukee Bucks*,44,38,96.2
21,Los Angeles Lakers,35,47,100.3
22,Dallas Mavericks,24,58,95.6
23,New York Knicks,29,53,96.8
24,Brooklyn Nets,28,54,98.9
25,Orlando Magic,25,57,98.1
26,Atlanta Hawks,24,58,98.3
27,Memphis Grizzlies,22,60,94.9
28,Sacramento Kings,27,55,94.9
29,Chicago Bulls,27,55,98.3
30,Phoenix Suns,21,61,100.3
