Rk,Team,W,L,Pace
,,,,
1,Golden State Warriors*,67,15,99.8
2,San Antonio Spurs*,61,21,94.2
3,Houston Rockets*,55,27,100.0
4,Los Angeles Clippers*,51,31,96.1
5,Utah Jazz*,51,31,91.6
6,Toronto Raptors*,51,31,94.7
7,Cleveland Cavaliers*,51,31,96.2
8,Boston Celtics*,53,29,96.8
9,Washington Wizards*,49,33,97.4
10,Oklahoma City Thunder*,47,35,97.8
11,Memphis Grizzlies*,43,39,92.3
12,Miami Heat,41,41,95.2
13,Denver Nuggets,40,42,98.3
14,Chicago Bulls*,41,41,95.3
15,Charlotte Hornets,36,46,95.7
16,Portland Trail Blazers*,41,41,96.7
17,Milwaukee Bucks*,42,40,94.5
18,Indiana Pacers*,42,40,95.9
19,Minnesota Timberwolves,31,51,94.6
20,Atlanta Hawks*,43,39,97.4
21,Detroit Pistons,37,45,95.0
22,New Orleans Pelicans,34,48,98.0
23,Dallas Mavericks,33,49,92.2
24,Sacramento Kings,32,50,94.9
25,New York Knicks,31,51,96.0
26,Phoenix Suns,24,58,100.3
27,Philadelphia 76ers,28,54,98.5
28,Los Angeles Lakers,26,56,98.5
29,Orlando Magic,29,53,96.8
30,Brooklyn Nets,20,62,101.3
