Rk,Team,W,L,Pace
,,,,
1,Milwaukee Bucks*,60,22,103.3
2,Golden State Warriors*,57,25,100.9
3,Toronto Raptors*,58,24,100.2
4,Utah Jazz*,50,32,100.3
5,Houston Rockets*,53,29,97.9
6,Portland Trail Blazers*,53,29,99.1
7,Denver Nuggets*,54,28,97.7
8,Boston Celtics*,49,33,99.6
9,Oklahoma City Thunder*,49,33,102.8
10,Indiana Pacers*,48,34,98.1
11,Philadelphia 76ers*,51,31,101.6
12,San Antonio Spurs*,48,34,98.3
13,Los Angeles Clippers*,48,34,101.7
14,Orlando Magic*,42,40,98.1
15,Brooklyn Nets*,42,40,100.8
16,Miami Heat,39,43,98.2
17,Detroit Pistons*,41,41,97.4
18,Sacramento Kings,39,43,103.1
19,Dallas Mavericks,33,49,99.0
20,Minnesota Timberwolves,36,46,100.2
21,New Orleans Pelicans,33,49,103.3
22,Charlotte Hornets,39,43,98.7
23,Los Angeles Lakers,37,45,103.2
24,Memphis Grizzlies,33,49,96.6
25,Washington Wizards,32,50,101.4
26,Atlanta Hawks,29,53,103.9
27,Chicago Bulls,22,60,99.0
28,Phoenix Suns,19,63,100.5
29,New York Knicks,17,65,99.6
30,Cleveland Cavaliers,19,63,96.6
